"asin","locale","seller_name","availability","price","proudct_name","product_link"
B00063E2HS,US,thrasio,true,"35.66","Snap-N-Store DVD Storage Boxes, Set of 2 Boxes, Each 6"" x 8.25"" x 16.5"" Inches, Holds up to 26 DVDs in Cases, Black (SNS01618)",https://www.amazon.com/dp/B00063E2HS?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00065PZW2,CA,thrasio,true,"7.95","First Lessons Rock Guitar. Partitions, CD pour Guitare",https://www.amazon.com/dp/B00065PZW2?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00065PZW2,US,thrasio,true,"7.95",Mel Bay 99820BCD First Lessons Rock Guitar Book/CD Set,https://www.amazon.com/dp/B00065PZW2?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0007A100M,US,thrasio,true,"9.99",Five-Finger Techniques for the Right-Hand [DVD],https://www.amazon.com/dp/B0007A100M?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0007WHAOK,US,thrasio,true,"28.97",Natural Drumming: Lessons 1 & 2 [DVD],https://www.amazon.com/dp/B0007WHAOK?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B000972FCA,US,thrasio,false,"59.99",First Lessons Blues Guitar Book/CD/DVD Set by Corey Christiansen & Mike Christiansen,https://www.amazon.com/dp/B000972FCA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B000978DOY,CA,thrasio,false,"59.99",First Lessons Violin,https://www.amazon.com/dp/B000978DOY?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B000978DOY,US,thrasio,false,"59.99",First Lessons Violin Book/CD/DVD Set by Craig Duncan,https://www.amazon.com/dp/B000978DOY?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00097BMRE,CA,thrasio,false,"59.99",First Lessons Beginning Guitar Book/CD/DVD Set by William Bay,https://www.amazon.com/dp/B00097BMRE?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00097BMRE,US,thrasio,false,"59.99",First Lessons Beginning Guitar Book/CD/DVD Set by William Bay [Electronics],https://www.amazon.com/dp/B00097BMRE?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
